review,label
man work tonight 8-12-17 rude real jerk need help get chang hundr horribl custom servic didnt get name normal realli nice peopl work wonder happen,negative
chri rude person gave attitud chang peopl go work grumpi mood show,negative
one favorit ga station stop store alway clean staff friendli locat conveni red box outsid store hot readi serv pizza wing well one thing love ga station cant even recal time someon come ask money definit plu pump alway clean park lot alway kept say actual look forward stop fill petro,positive
oh thank heaven seven eleven dont know thank seven eleven instant brand recognit conveni store dime dozen seven eleven stand competit famou brand includ big gulp slurpe big bite hot dog seven eleven nacho seven eleven coffe seven eleven brand draw locat seven eleven gasolin drive green valley toward northwest bound 95 northeast valley low tank ga oftentim stop appreci suffici room maneuv vehicl around ga pump island appreci seven eleven take graffiti serious dispar sever valley ga station pump free graffiti commonli carv ga pump also appreci seven eleven spruce blight corner take back also appreci big gulp pick drive north might ask seven eleven gasolin seven eleven gasolin one brand use last three car leas fuel motor vehicl seven eleven gasolin never engin problem exact style mani seven eleven locat clean modern even though take minut pay fill motor vehicl short period time well spent short period time shall return seven eleven,negative
five star guy work weekday morn around 8-9am-ish awesom friendli fast servic patient im pay half card chang pocket lint observ treat custom well im fond tall super-earli morn guy well favorit 7-11 also clean,positive
best experi employe nice help definit return vehicl need,positive
object shop find good fast oil chang place wont upsel unfortun fail miser here why1 took 40 minut oil chang 8am open line 2 servic manag use bait switch tactic 3 use fear tactic tri get expens $1580 repair 4 shop didnt realli want honor $10 oil chang coupon sent would suggest tri build trust loyalti commun instead scam needless say wont come back cant wait tesla dont deal shop like anymor ill look anoth oil chang place next time wish vega honest quick shop like oilmen lo angel move here timelin event transpir got 803 servic manag greet smile present $999 coupon oil chang face chang immedi welcom disappoint tri bait switch tell hybrid requir full synthet couldnt use oil $10 coupon said like regular stuff hesitantli told go check clerk use regular oil request car check minut later technician brought car lift began drain oil car left alon servic manag inspect came said suspens shock end life replac $1580 use scare tactic car high mile 170k mile suppos last 70k refus car drive fine said need new engin air filter $2499 wait bit answer face hope ask want said walk away mad-disappoint face sorri chang air filter home technician took anoth 10 minut chang oil filter put oil car done went clerk offic wait 10 minut abl pay though wont blame slow servic phone anoth custom got 803am final abl get 845am stand car whole time watch inspect car afterward ive seen bad shop video youtub,negative
absolut worst servic ever went oil chang charg $10 advertis rate top fluid like advertis would also tri up-sel everyth imagin told brake bad even though servic dealership 6 month ago told would never pass smog test filter bad pass yesterday fli color would recommend place anyon steer clear,negative
love love love custom servic come regularli tune up alway leav satisfi lena front alway take care one manag alway greet smile come locat also other pretti consist servic around,positive
took friend shop get oil chang said deal go $10 oil chang tire rotat ask kind oil usual put car say either full synthet synthet blend proceed tell us never go back anyth els put full synthet oil engin huge myth/li must assum didnt know anyth car insist tri convinc go full synthet told well synthet blend agre take car garag 20-30 min come back tell us car doesnt take synthet blend oil would pay full synthet laugh ask key back auto shop like tri take advantag peopl everyday smart dont ever take car place,negative
place joke byron store manag straight fraud piec shit know fact rip anyon doesnt better car young girl especi dont recommend place anyon wouldnt let put air tire sure type place break thing purpos make money young girl came store last week bad hose radiat miss ga cap charg 150 dollar 3 day later gage say heat perfect she bring back low behold hose connect radiat littl piec hose connect replac crack broken idiot tell need new radiat want anoth 500 buck fuck scum bag pleas never go idiot smart research way talk young girl go radiat whole thing done 140 buck see ya asshol never,negative
came yesterday septemb 13th oil chang 2007 audi today septemb 14th got car wash attend tell front underbodi came pull told ever underneath lost screw tuck thing front bumper happi didnt happen freeway,negative
cannot trust bad serviceiw get oil chang earli ithink b4 9am ok itold ine oil done ask aquot 60 thousand mile tune come 400 plu dollorr isaid realli ithink dealer 30 dollor less irath go anyway ill think bout oil chang nowok igo 1 hour igo back 2 guy chat fron desk igo car done said ye sir readi go ok im pay ask guy there blank millleag paoer work that ifound said nobodi done car isaid never mind im gonna late workno buis talk noth couldnt even 1 oil changewow servic imloy custom go everyth idoubt im com backso aneweiz next day igo across street fireston servic great guess 60 mile tune uo 148 ahahhaha wow werd talk fireston never go tbi aa auto liar sevic ixan star iwould,negative
napa autocar center locat 6765 w flamingo rd absolut best fail smog inspect knew need profession receiv grand open flyer mail drove immedi damn lucki find new auto care locat met counter byron erni extend profession courtesi explain need pass smog inspect tech rob perform need repair quickli expertli inform exactli hed done vehicl smog check tech chri equal inform help profession even gave discount air forc veteranhow cool unusu final ive found best place la vega take care annual smog check well oil chang tire number one recommend anyon need expert auto care reason price mani thank byron erni rob chri - guy best,positive
took car simpl brake shoe chang everyth perfectli fine chang ab traction control light never adjust e-brak grip went back shop complain said adjust e-brak take respons traction control light sinc said total coincid happen activ chang brake shoe yeah total coincid obvious felt bs went back shop 3rd time check via obd2 turn rear wheel ab speed sensor happen 2 inch brake manag still wouldnt accept fault kept say total coincid never touch sensor happen back brake chang total coincid sensor broke coincident theyv replac shoe ive got energi left go back 4th time get stuf bs bs excus $160 thought get profession servic eat cost new sensor chang lesson learn never,negative
guy know right lift five minut knew leak probabl pan gasket brought attent sale pressur great price also,positive
came smog wait bit turn told wait 15-20 min need go get someth smog machin assum manag notic wait came tell go take care smog someth w/o ask that call great custom servic ever need come back,positive
stop today go discount tire twice tire told could patch roommat suggest go mechan cours aa auto care patch tire problem work great thank,positive
warn use compani purpos aa auto care - previous purrfect auto - name chang would guess poor servic bad review horribl manag name thing experienc aa auto care well noth chang name employe includ manag due respect worker friendli even owner talk sever time issu gave impress want right thing - yet manag wouldnt lead believ lip servic import know busi name lie date fail follow satisfi work overpaid even warrante refus proper work explain negoti rebuilt motor put car quot one price charg $700 desper fact without consult first put engin claim rebuilt car took month fulfil readi need car get wors subsequ year fought aa auto et al issu car never oper properli kind new issu ive discov engin use engin mani mile leak oil bad nois also discov origin transmiss stolen replac one u pull still mark busi also one mani time held car week end tool box tool given dad dead stolen car much patienc part mere lip servic poor workmanship car still run refus honor warranti yet told demand want car run properli event threaten man told handl complaint basic attempt get fight one locat craig road ye wit frustrat thing dont know contact attorney process give paperwork record ive keep write warn anyon think work compani warn person wit aa auto sell servic need peopl came wait heard convers sale pure thieveri conclus horribl workmanship theft part person item failur honor warranti threat physic harm confront promis would,negative
stop today estim replac sensor - estim approxim 743 - nathan knowledg friendli - hope review neg true go rip woman - hope honest,positive
place great puurfect auto place noth ripoff dont come think go get want repair that went discount tire recent got tire replac hear nois think mayb tire loos show tire liter wiggl move hand tell hub bear loos go back mechan sinc got hub bear recent replac begin year clearli work wasnt done right take aa auto explain problem instead even put rack take opinion mechan supposedli replac right mechan opinion come back say car need diagnos instead check ask understood hub bear warranti could atleast check without extra fee want add take car wont walk simpl fix alway tri add stuff fix even oil chang gotten second opinion say wrong fine aa auto care dont contact harass busi done go puurfect auto fort apach honest work,negative
